sample_barcode	amplicon_index	amplicon_classification	amplicon_intervals
SA542014	8	Circular	17:7582251-22199999
SA320890	1	Linear	18:10001-130030
SA528964	1	Linear	1:244891104-245303689
SA528964	13	Linear	1:190287073-190411626
SA528964	31	Linear	1:248462193-248608543
SA528964	33	Linear	1:239055247-239327682
SA528964	34	Linear	1:240086250-240428079
SA528964	6	Linear	1:172047542-172101559
SA533746	12	Linear	1:10554948-11288088
SA533746	14	Linear	1:11499106-13189702
SA533746	19	Linear	10:127032505-127045574
SA533746	4	Linear	1:16742954-17385008
SA528900	17	Linear	"2:214170583-214181087,7:67948490-68394203,8:110858732-135707277,11:103110600-125099093,13:113645992-115169877,19:9415287-59128982,20:35376657-62432500,GL000199.1:0-134533"
SA528900	21	Linear	8:10001-2537439
SA501615	1	Linear	11:69090119-69999928
SA505933	11	Linear	9:118057500-119120003
SA505933	2	Linear	20:43372447-45072499
SA505933	3	Linear	20:45126731-45636821
SA505933	4	Linear	8:114154187-115137499
SA505933	5	Linear	7:119519996-119860568
SA505933	7	Linear	3:15889958-25465777
SA541942	11	Linear	12:69577659-70023975
SA541942	12	Linear	12:57853143-59859924
SA528904	1	Linear	19:254304-24399999
SA528904	2	Linear	19:30179898-59128982
SA528904	4	Linear	3:167848054-170211892
SA270462	3	BFB	"1:154955913-175901355,1:176115166-224594564"
SA270462	6	Linear	"8:52522223-143800024,10:6869953-6880558,GL000220.1:0-161802"
SA528909	4	Heavily-rearranged	"3:181725332-181925832,7:61700000-158821400,9:50700000-79990701,11:40144507-40345006,11:114431925-114452424,20:30713-62432500"
SA528909	5	Heavily-rearranged	"13:19500000-33749780,16:72496106-72696605"
SA528909	8	Linear	1:234666842-235280772
SA501579	1	Circular	"1:143906603-249250620,5:39977-100995280,5:101019197-180689978,6:39681-170849934,8:48100000-146364021,10:65422565-65433191,17:53637989-81195209,GL000220.1:0-161802"
SA506669	2	Linear	19:28600000-59128982
SA506669	4	Linear	"1:104480277-104490854,20:32701-62432500"
SA538904	1	Heavily-rearranged	"4:3569145-3579674,9:31035288-44892152,X:63220082-68715925"
SA538904	12	Heavily-rearranged	"2:68239076-68279605,3:155759892-156267578"
SA538904	17	Circular	"3:150844061-155498415,3:161685469-180990984,3:181305970-197847500,8:37665055-43099999,8:94551051-146364021,9:219795-30990242,13:82871998-84270006,X:84791165-84834634,GL000199.1:0-134520"
SA538904	18	Linear	16:87631822-87933584
SA538904	20	Linear	X:90314956-90575523
SA538904	22	Linear	16:86372549-86938740
SA538904	31	Linear	8:56172934-56214475
SA538904	32	Linear	16:85707207-86120525
SA538904	35	Linear	8:56386824-56511138
SA538904	36	Linear	9:120196325-120394901
SA538904	38	Heavily-rearranged	8:57067125-73353671
SA538904	39	Linear	8:73475320-73838215
SA538904	49	Heavily-rearranged	"X:88018317-88706112,Y:6381751-6412280"
SA538904	5	Linear	8:85603922-87191915
SA538904	6	Circular	X:72776425-72829524
SA538904	7	Linear	1:221076110-249250620
SA528846	12	Linear	"7:75153596-110990680,18:19490349-21424659"
SA501534	1	Heavily-rearranged	"13:97129498-98611284,13:98976742-98997332,13:101606058-101616649,13:101722986-103557291,13:104152472-104216291,13:104269873-104280463,13:104287277-104326667,13:104475343-106937802"
SA501534	2	Linear	13:114142801-115169877
SA505563	14	BFB	"1:31365473-59580252,2:20016-39660867,5:0-38001272,7:139110750-158821400,8:128910368-146267000,10:90127-64953104,X:84563469-84763996,GL000220.1:0-161802"
SA505563	19	Linear	5:38001358-46099999
SA505563	22	BFB	6:39681-44056216
SA505563	23	BFB	7:40386-81183148
SA505563	24	BFB	7:81590526-138558524
SA505563	26	BFB	20:60479-31118801
SA505563	39	Heavily-rearranged	"2:46962453-121939513,3:93900000-198022429,9:47500-43862500,11:40144507-40345034,12:110107-33299999,12:38200000-99976232,19:28600000-41295471,19:44847143-47329011"
SA505563	40	Linear	8:127553706-128366506
SA505563	42	Linear	8:128379370-128894592
SA505563	44	Heavily-rearranged	"1:143544203-180574399,17:30266679-30277206"
SA505563	7	Linear	1:60089754-100912807
SA541820	10	Linear	1:144522402-151566378
SA541820	14	Linear	11:61176742-61197470
SA541820	15	Linear	5:29837943-29864175
SA541820	16	Circular	"5:28107666-29192732,12:6848731-11933523"
SA541820	18	Heavily-rearranged	"5:30988656-36926861,GL000220.1:0-161802"
SA541820	2	Linear	5:29875305-30615202
SA541820	4	Linear	5:72307375-72589097
SA541820	5	Linear	5:72597804-75265046
SA541820	6	Linear	6:20273246-20491595
SA541820	7	Linear	7:44396333-44953419
SA517415	4	Linear	17:25800000-30313117
SA517415	5	Linear	17:15865267-16806928
SA501484	3	Linear	22:20159999-24103268
SA501484	4	BFB	1:144840333-161660059
SA501484	5	Linear	4:67118854-67773408
SA320986	1	Linear	16:22657501-29449202
SA270460	6	Linear	1:143541939-144909802
SA320956	1	Linear	1:203760754-203796074
SA543124	4	Heavily-rearranged	"8:48100000-104534561,GL000220.1:0-161802"
SA541814	1	Linear	20:20465720-25599999
SA541814	2	Circular	10:37167926-37999999
SA541814	4	Linear	"10:104427-35804630,10:43141386-44316756,12:688543-8670801"
SA541946	1	Linear	5:743953-1390130
SA515248	10	Linear	2:180609886-182020724
SA515248	2	Linear	2:178538785-179291737
SA515248	3	Linear	2:178146996-178330790
SA515248	4	Linear	2:179350546-180557116
SA515248	5	Linear	2:173287847-175788074
SA515248	6	Linear	2:175796676-178092643
SA515248	7	Linear	2:184743362-185911730
SA501506	1	BFB	"6:32460388-32501189,6:32513079-32523880,6:32538002-32549956,8:100840030-122150091"
SA501506	12	Linear	"3:100074-8265638,16:84170-56486102"
SA501506	13	Circular	"2:194922301-194933103,3:8299029-21649946,3:85401456-197847500,4:56611418-56622220,5:0-46057134,5:50700000-53843109,7:44878-61944997,12:110107-24061030,12:24446701-47025350,12:78115980-132299400,17:13281324-16009896,17:16195095-81195209,19:46928574-59128982,20:32074-25599999,20:29907492-62435800,GL000220.1:0-161802"
SA507229	3	Heavily-rearranged	5:122244719-180731326
SA528872	26	Linear	18:19000000-37722219
SA518723	1	Circular	17:15127927-18845784
SA507421	1	Heavily-rearranged	"8:142827504-142837895,15:1-102531391"
SA507421	2	Heavily-rearranged	"20:78713-62432500,X:1-154929638"
SA507421	3	Circular	"2:9997-242985493,3:129138778-198022429,6:160955848-160966240,9:10001-140267500,16:100010-90354752,19:108847-59128982"
SA507421	5	Circular	"1:167025442-167035834,5:0-180734241,GL000220.1:0-161802"
SA507421	6	Linear	7:61700000-158817500
SA557426	9	Heavily-rearranged	14:50486262-56873494
SA529734	1	Linear	"1:145383227-249250620,2:208953370-208964011"
SA529759	1	Linear	19:28600000-33595001
SA533684	1	Linear	17:70043147-70705448
SA533684	10	Linear	X:107398584-113253706
SA533684	13	Linear	X:93301959-103172812
SA533684	14	Linear	17:16308841-16961635
SA533684	2	Linear	X:105560880-107095002
SA533684	3	Linear	X:122575976-134671208
SA533684	5	Linear	18:19020160-20023498
SA533684	8	Linear	X:114371270-121847267
SA557416	21	Heavily-rearranged	"4:42699966-42726686,4:45431761-48199999"
SA557416	22	Linear	1:143391939-143688938
SA557416	24	Linear	9:1710072-1759037
SA557416	29	Circular	"4:52700000-55693625,4:55855343-89443436,4:184380428-190987500,5:1228049-1296860,5:11924180-12005006,5:13805724-13892035,5:31390127-34441116,5:35842042-43832890,6:382212-29855021,6:29908128-36481593,7:9080957-9091617,7:61700000-158821400,8:22894246-56022542,8:58244878-146364021,9:1622299-1631099,11:64198767-69635745,11:69649870-71461405,11:72704913-78854314,11:78877382-83096230,16:72921479-72924242,17:46914695-57476963,17:58356967-81195209,20:37323724-40994548,20:51296482-51832330,20:53665880-59255033,21:24798845-26102401,21:45159887-47490230,GL000220.1:0-161802"
SA557416	35	Linear	4:43696021-43952033
SA557416	36	Linear	11:72493789-72539491
SA557416	38	Linear	"4:42127225-42650240,4:43625851-43646895"
SA557502	15	BFB	8:48100000-146364021
SA557502	21	BFB	1:144897876-242066906
SA557502	25	Linear	17:25800000-81195209
SA557502	29	BFB	2:96800000-242985695
SA557502	5	Linear	4:48932-48199999
SA557502	6	BFB	4:52700000-191154275
SA517257	1	Linear	"3:2942634-42694552,21:45839144-45859457"
SA321106	10	Heavily-rearranged	"9:2159965-2436200,9:13846118-13926074,9:29654297-29879704,9:113844122-113996845"
SA321106	11	Linear	9:78619760-78759094
SA321106	12	Linear	9:82129989-82190031
SA321106	13	Heavily-rearranged	"9:6187587-6503838,9:11045052-11320927,9:21462984-21917446,9:32835471-33156775,9:84741958-84941813,9:90098873-90135329"
SA321106	14	Linear	9:105988838-106161955
SA321106	15	Linear	9:10348072-10576694
SA321106	16	Linear	"9:3351526-3477293,9:34122308-34301657"
SA321106	2	Heavily-rearranged	"9:2767048-2857619,9:30612364-30804352,9:73079968-73105238"
SA321106	4	Heavily-rearranged	"9:71449699-71641273,9:91025564-91251596"
SA321106	5	Linear	9:25832634-25882710
SA321106	7	Heavily-rearranged	"9:28385794-28432372,9:74898831-75221061"
SA321106	8	Linear	9:36384112-36549707
SA321106	9	Linear	9:44880519-47313112
SA411995	1	Heavily-rearranged	16:8558915-90138920
SA270458	1	BFB	"12:128550298-128571060,13:19500000-35908246"
SA533758	1	Linear	19:39319444-39889591
SA533758	2	Linear	19:38164068-38424853
SA533758	3	Linear	19:39965638-40294509
SA533758	6	Linear	19:44010332-46918551
SA533758	8	Linear	19:47757560-47884218
SA501571	1	BFB	"1:144672602-249176581,12:121345720-121366347"
SA501571	2	Heavily-rearranged	"7:65399-158821400,8:5969242-5979869"
SA501571	3	BFB	"20:54858789-54869416,22:1-51304565,GL000220.1:0-161802"
SA411737	1	Linear	13:30872727-30928001
SA411737	2	Circular	8:41696662-42479991
SA411737	3	Linear	13:31005289-46014989
SA411737	5	Heavily-rearranged	"2:33031366-33242010,5:25916715-46099999,GL000220.1:0-161802"
SA411737	6	Linear	18:19000000-19486724
SA411737	8	Linear	18:45590065-47467938
SA544294	1	Linear	1:144810802-249250620
SA501498	10	Circular	"1:86002865-86023647,6:39681-58699999,8:38430109-43099999,8:48100000-146364021,12:30500663-30511446,16:60908203-60918985"
SA501498	5	Linear	6:63300000-63658681
SA501498	8	Heavily-rearranged	"6:64822696-65247517,6:78138930-80377154"
SA407982	6	Linear	10:130765864-132692643
SA407982	8	Linear	10:126518979-127115935
SA501445	3	Linear	"4:58783415-74285252,8:48100000-128368929,GL000199.1:0-134545"
SA542024	2	Heavily-rearranged	"19:945638-3944531,19:43604873-44325013"
SA542024	3	Heavily-rearranged	19:46374214-56302499
SA520427	10	Linear	1:186300452-186350000
SA520427	13	Linear	3:151065613-151179442
SA520427	2	Linear	2:179389982-179669931
SA520427	4	Linear	19:9035172-9098097
SA520427	5	Linear	14:24484760-24919996
SA520427	6	Linear	5:140691213-140920009
SA520427	7	Linear	3:130121068-130165005
SA520427	8	Linear	12:40917370-40969995
SA413855	1	Linear	3:145999031-146031827
SA413855	2	Linear	18:48500763-48614214
SA514942	1	Linear	18:52844-130030
SA501545	2	Linear	19:18121482-19879616
SA501545	3	Linear	16:8398345-8419738
SA501545	4	Circular	"6:32444358-32569163,8:48100000-146364021"
SA515389	1	Heavily-rearranged	"1:86274868-89994200,8:34144759-36751473,8:40137346-145799601,GL000220.1:0-161802"
SA515389	2	BFB	"1:128900000-249250620,6:94731412-94742089"
SA517258	1	Linear	7:101760002-102120475
SA517258	2	Linear	17:49238967-81195209
SA543536	1	BFB	"1:143135602-249250620,16:9999-32182499"
SA270432	6	Linear	9:22985636-26498737
SA538888	1	Linear	8:95602163-101660329
SA538888	11	Linear	8:95435463-95476721
SA538888	12	Linear	8:79406149-90751606
SA538888	2	Linear	8:68723972-78474170
SA538888	5	Linear	8:78477495-79404763
SA538888	9	Linear	8:90760257-95367302
SA543426	2	Linear	5:176875236-180689978
SA557381	4	Heavily-rearranged	1:11349879-56200950
SA557381	5	Linear	1:63480812-63858745
SA557381	6	Linear	1:1-10957625
SA557381	7	Linear	13:31790023-41198672
SA501515	2	Circular	"6:5626106-37871181,12:109352663-109373471"
SA501515	3	BFB	"1:86002910-86023717,6:37984915-57269858"
SA529881	7	Linear	8:11400828-11700729
SA529881	8	Circular	"1:144811448-249250620,8:48100000-146364021"
SA506655	1	Heavily-rearranged	"11:30955383-31155949,X:1-32535491"
SA515309	2	Linear	7:8750047-9091512
SA515309	4	Linear	"8:73013864-73024461,8:100082289-139738441"
SA515309	7	BFB	1:143138201-249176581
SA543530	11	Linear	"8:78947528-100847051,GL000220.1:0-161802"
SA543530	13	Linear	8:35917002-37980641
SA543530	18	BFB	8:101180021-142393063
SA543530	3	Circular	"19:33928840-34372321,19:49822521-55650505"
SA543530	4	Linear	13:74263101-75718870
SA505754	2	Circular	6:382402-41790547
SA505754	22	Linear	10:42300000-57053201
SA505754	26	Linear	20:23077950-24119664
SA505754	43	Linear	"2:26927336-26937886,3:93900000-197847500,8:48100000-70789971,8:71026002-146364021,10:94426-11969836"
SA505754	59	Heavily-rearranged	"1:167025283-167035834,5:124870-45879979,GL000220.1:0-161802"
SA505754	60	Linear	"21:14300000-31283975,21:31285984-34832345"
SA515305	2	Linear	8:37989359-38247318
SA515305	3	Heavily-rearranged	"6:32452328-32472982,8:36883223-37169956,8:37501410-37521188,8:39703146-39751940,8:41218646-146364021,GL000220.1:0-161802"
SA515305	7	Linear	8:36488395-36516986
SA557338	2	Linear	"13:58183230-90772302,13:90881272-112531996"
SA533796	16	Linear	6:18610853-28667333
SA542426	11	BFB	1:196320042-218542992
SA542426	17	Linear	1:218543231-229667947
SA542426	18	BFB	5:149736947-180670414
SA542426	3	BFB	"1:158124029-167087406,5:0-149612596"
SA528790	2	Linear	6:14193567-15844146
SA505577	4	Linear	4:68132682-76457537
SA505577	5	Linear	8:135355858-135374688
SA542114	2	Linear	13:74849438-96478719
SA543590	14	Linear	X:1-55135151
SA543590	15	Linear	7:71891408-110000368
SA543590	18	Linear	9:24145930-24339454
SA543590	19	Linear	9:24654795-25379538
SA543590	20	Linear	9:28270012-29158010
SA543590	22	Linear	X:55162798-58099999
SA543590	23	Linear	20:29804602-53573877
SA543590	24	Heavily-rearranged	"10:94426-19813982,17:25800000-81195209"
SA543590	26	Linear	19:30215572-40659792
SA543590	3	Linear	18:19000000-22356566
SA543590	4	Linear	22:1-51304565
SA543590	42	Heavily-rearranged	1:196635831-248630156
SA543590	43	Linear	14:16100000-23105038
SA543590	7	Linear	1:128900000-190060732
SA543590	8	Linear	18:49655553-55338228
SA543590	9	Linear	5:53884849-54091085
SA543206	1	Linear	14:35424334-35595273
SA543206	15	Linear	2:44145797-141766002
SA543206	27	Linear	5:22500-2248864
SA543206	28	Linear	14:49513114-50923994
SA543206	32	Linear	14:33150019-35254118
SA543206	43	Linear	14:52358894-53877300
SA543206	60	Linear	19:28600000-59128982
SA543206	8	Linear	14:36509159-38158139
SA538893	1	Linear	21:10900000-18819198
SA538893	13	Linear	"6:94721412-94741881,6:120644785-128518148"
SA538893	2	Heavily-rearranged	"8:61014000-61214470,12:72594601-104013991"
SA538893	26	Linear	10:42300000-66841026
SA538893	27	BFB	"1:143645109-205570548,5:22500-65677592,7:43906777-159138662,13:78789286-115169877,GL000220.1:0-161802"
SA538893	33	BFB	"2:33041102-33251572,9:47500-141069765,21:25440023-41610848"
SA538893	39	Heavily-rearranged	"15:1-33449080,16:85363-34044994"
SA538893	7	Linear	6:24865324-28112934
SA538893	9	BFB	"6:29859277-37903481,12:108951318-122655728"
SA515270	5	Linear	7:61869077-62460063
SA517385	2	BFB	"12:118648194-133851894,17:19076601-81195209"
SA538880	1	Linear	8:127982501-128263199
SA538880	12	Linear	8:75215926-76333270
SA538880	13	Linear	3:125392717-135140113
SA517379	1	Linear	14:57216236-57487385
SA533803	1	Linear	1:119478037-119884249
SA270444	4	Linear	7:61864161-62451202
SA270444	5	BFB	"8:117560290-137698481,14:28617036-31462551,14:33325761-35173234"
SA270444	7	Linear	14:35650865-36306759
SA570916	1	Heavily-rearranged	"8:10001-146364021,12:96810024-97010615,GL000220.1:0-161802"
SA570916	2	Heavily-rearranged	9:10001-141098344
SA528874	4	Circular	8:8558531-13682115
SA530440	4	Heavily-rearranged	"8:73010594-123503548,GL000220.1:0-161802"
SA530440	5	Linear	8:130862500-133876245
SA542004	1	Linear	16:14967722-15132499
SA501427	3	Linear	4:161877501-161900094
SA501427	9	Circular	"1:65020368-249250620,4:22303-48199999,5:0-180715810,6:204072-58699999,7:52500-151260697,8:34540637-56904504,8:56930698-146364021,11:132048237-134452200,13:49476580-49487106,13:64385111-115169877,15:1-32724312,15:65276350-102413911,18:38822-73711653,19:28600000-58899209,20:32139-62432500"
SA501391	1	BFB	1:144845351-247546037
SA410223	2	Linear	19:6941209-8425211
SA529827	3	Linear	1:144907521-157106865
SA529827	32	Linear	21:10688002-10865401
SA528941	12	Linear	5:26867369-26908096
SA528941	13	Linear	5:26396194-26663817
SA528941	14	Circular	"16:8686919-8697421,17:38372553-40188842"
SA528941	16	Linear	5:27046578-29140594
SA528941	23	Linear	8:112760665-131060942
SA528941	24	Linear	9:66494188-76235930
SA528941	7	Linear	19:28600000-41197500
SA528941	8	Linear	"8:80173823-112422372,GL000220.1:0-161802"
SA518680	3	Linear	9:13103291-13645669
SA542397	1	Heavily-rearranged	"1:26507498-26708037,2:33040984-33251523,8:61013931-61214470,12:195828-133851894,GL000220.1:0-161802"
SA411178	10	BFB	"1:108046568-108247072,15:30234181-102431166"
SA411178	5	Circular	12:19487484-31678244
SA411178	7	Heavily-rearranged	"3:181725809-181926313,6:94937557-95138061,8:52730142-52750646,11:13016181-42869929,X:2890029-3090533"
SA501487	1	BFB	1:145137001-248769896
SA558653	3	Linear	12:24796765-25656128
SA542478	3	Linear	5:81445053-81997499
SA411297	10	Linear	"6:94721411-94741906,6:116144730-135344963"
SA411297	12	Heavily-rearranged	"6:108551323-113759992,6:135854183-136664891,6:137013497-137028063,6:137065225-139746599"
SA411297	17	Heavily-rearranged	7:138491839-158821400
SA411297	20	Heavily-rearranged	"8:78401713-93544350,GL000220.1:0-161802"
SA411297	23	Heavily-rearranged	"1:34442123-46607954,1:49546325-54993026,1:61509971-61927165,2:437112-1702382"
SA411297	26	Linear	1:145120002-177394705
SA411297	27	BFB	"12:110107-131707561,13:37543910-60068767,13:60112850-70733296"
SA411297	8	Heavily-rearranged	"3:93900000-197847500,8:36729809-52394420,8:126929071-129148549"
SA501502	6	Linear	1:146479903-152283429
SA518632	1	Linear	12:21858964-26187033
SA518632	11	Linear	12:110107-223140
SA518632	12	Linear	"8:117106276-119517483,12:627473-12107499,12:26719539-30513114"
SA518632	19	Linear	17:60005678-64588491
SA518632	2	Linear	7:89876524-90077695
SA518632	24	Circular	7:90093344-92631036
SA518632	5	Linear	17:64861908-66428171
SA518632	6	Linear	8:79897271-92690354
